2026-01-15 21:23:51.526 [info] Using Cloud Code URL: https://daily-cloudcode-pa.googleapis.com
2026-01-15 21:23:51.526 [info] [BrowserOnboardingClientMainService] Starting browser onboarding server
2026-01-15 21:23:51.526 [info] [BrowserOnboardingClientServer] Browser onboarding server started on http://localhost:58192
2026-01-15 21:23:51.526 [info] update#setState idle
2026-01-15 21:23:52.553 [error] Error: invalid_grant
    at Gaxios._request (C:\Users\Admin\AppData\Local\Programs\Antigravity\resources\app\node_modules\gaxios\build\cjs\src\gaxios.js:154:23)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async OAuth2Client.refreshTokenNoCache (C:\Users\Admin\AppData\Local\Programs\Antigravity\resources\app\node_modules\google-auth-library\build\src\auth\oauth2client.js:259:19)
2026-01-15 21:23:52.558 [error] Error initializing AntigravityAuthMainService: invalid_grant
2026-01-15 21:34:23.622 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:34:26.620 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:34:29.632 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:34:32.652 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:34:35.650 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:34:38.646 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:34:41.741 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:34:44.665 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:34:47.683 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:34:50.683 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:34:53.708 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:34:56.692 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:34:59.702 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:35:02.711 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:35:05.723 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:35:08.735 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:35:11.728 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:35:14.748 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:35:17.746 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:35:20.760 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:35:23.759 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:35:26.765 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:35:29.790 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:35:32.791 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:35:35.807 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:35:38.809 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:35:41.825 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 22:01:44.089 [warning] [perf] profiling STARTED 88b9ec15-59c7-4491-9b2a-2673332d90cf
2026-01-15 22:01:49.866 [warning] [perf] profiling DONE 88b9ec15-59c7-4491-9b2a-2673332d90cf
2026-01-15 22:16:17.229 [info] Extension host with pid 19320 exited with code: 0, signal: unknown.
